id,healthCenterId,name,contractId,typeId,type,address,hasOnlineRecommendation,hasRecommendation,provinceName,cityName,latitude,longitude,distance,duration,specialty,URL,type_name
114832,155170,آزمایشگاه تشخیص پزشکی بعثت-نجف آباد,1067685,1000106,آزمایشگاه,اصفهان-نجف آباد-يزدانشهر-بلوارمطهري-ابتداي نگارستان ششم-پلاک 8,True,True,استان اصفهان,نجف اباد,32.6320960917,51.3130184487,,,,https://iranassistance.com/medical-centers/114832,آزمایشگاه
114834,155198,آزمایشگاه دکترصمدی -کردکوی,1067687,1000106,آزمایشگاه,گلستان-کردکوي-خيابان وليعصر نبش عدالت 15,True,True,استان گلستان,کردکوي,36.7941204376,54.1125343478,,,,https://iranassistance.com/medical-centers/114834,آزمایشگاه
114837,155211,درمانگاه چند تخصصی خدمات ژنتیک مانا-ساری,1067690,1000166,درمانگاه,مازندران-ساري-ميدان معلم-ساختمان نيکا-پلاک2/8726-طبقه اول-همکف-زيرزمين,True,True,استان مازندران,ساري,36.5692283083,53.0705737249,,,,https://iranassistance.com/medical-centers/114837,درمانگاه
114838,155213,مرکزفیزیوتراپی  محمدغفوری-بابل,1067691,1000104,فیزیوتراپی,مازندران-بابل-ميدان ولايت-ساختمان سامان -طبقه4,True,True,استان مازندران,بابل,36.5388160273,52.6763264885,,,,https://iranassistance.com/medical-centers/114838,فیزیوتراپی
114839,155229,مرکز تصویربرداری دکتر قائمیان-بابل,1067692,61,تصویربرداری,مازندران - بابل -جنب بيمارستان شهيد بهشتي -مجتمع پزشکي دکتر قائميان,True,True,استان مازندران,بابل,36.5357657948,52.6878356923,,,,https://iranassistance.com/medical-centers/114839,تصویربرداری
114840,155251,آزمایشگاه پاتوبیولوژی مهر-خرم آباد,1067693,1000106,آزمایشگاه,لرستان-خرم آباد -خيابان شهدا -بين چهارراه بانک و ميدان شهداء -کوچه جلال سرباز -ساختمان  آيلا -پلاک 64 -طبقه زير زمين -واحد 1و2,True,True,استان لرستان,خرم آباد,33.4738167641,48.3521472269,,,,https://iranassistance.com/medical-centers/114840,آزمایشگاه
114841,155269,مرکز رادیولوژی دهان، فک وصورت دکتر مریم کشاورزی -اصفهان,1067694,61,تصویربرداری,اصفهان -خيابان شمس آبادي -روبروي بسيج -مجتمع نور -طبقه اول -واحد 102,True,True,استان اصفهان,اصفهان,32.6509601431,51.6655404356,,,,https://iranassistance.com/medical-centers/114841,تصویربرداری
114842,155270,آزمایشگاه تشخیص پزشکی آریانا-اصفهان,1067695,1000106,آزمایشگاه,اصفهان-چهارراه پليس-توحيد مياني -نبش کوي بهار13-ساختمان آريانا-پلاک1-طبقه همکف,True,True,استان اصفهان,اصفهان,32.6347753528,51.6584868174,,,,https://iranassistance.com/medical-centers/114842,آزمایشگاه
114847,155311,آزمایشگاه پاتوبیولوژی و تشخیص طبی کوثر-قزوین,1067701,1000106,آزمایشگاه,قزوين-شهرک کوثر-فلکه دوم بلوارشهيد محلاتي-نبش کوچه عترت النبي -پلاک 25,True,True,استان قزوين,قزوين,36.3102739135,50.0058019943,,,,https://iranassistance.com/medical-centers/114847,آزمایشگاه
114848,155312,آزمایشگاه پاتوبیولوژی دنا-قزوین,1067702,1000106,آزمایشگاه,قزوين-چهارراه بلوار-کوچه رسالت -ساختمان پزشکان کاج -واحد 1و2,True,True,استان قزوين,قزوين,36.2700182309,50.0053956164,,,,https://iranassistance.com/medical-centers/114848,آزمایشگاه
114853,155356,آزمايشگاه تشخیص پزشکی بهار-کرج,1067707,1000106,آزمایشگاه,البرز - کرج -گوهردشت- فلکه اول- ابتداي خيابان مطهري -ساختمان بيست (آزمايشگاه بهار),True,True,استان البرز,کرج,35.843586,50.972411,,,,https://iranassistance.com/medical-centers/114853,آزمایشگاه
114856,155370,آزمایشگاه تشخیص پزشکی دی -یزد,1067710,1000106,آزمایشگاه,يزد-خيابان کاشاني -جنب پمپ بنزين -پلاک 9,True,True,استان يزد,يزد,31.8731378297,54.3767375826,,,,https://iranassistance.com/medical-centers/114856,آزمایشگاه
114859,155373,درمانگاه شبانه روزی حضرت زینب(س)-نور,1067713,1000166,درمانگاه,مازندران - نور،خيابان امام خميني ،نبش سرداران(سوردار نام قديمي)  5- طبقه فوقاني داروخانه دکتر کالجي,True,True,استان مازندران,نور,36.579857,52.02768,,,,https://iranassistance.com/medical-centers/114859,درمانگاه
114868,155395,آزمایشگاه دکتر بابایانی-بندرترکمن,1067722,1000106,آزمایشگاه,مازندران - بندرترکمن -ميدان مختومقلي - روبروي اداره اموزش و پرورش,True,True,استان گلستان,بندرترکمن,36.8929646481,54.0694087749,,,,https://iranassistance.com/medical-centers/114868,آزمایشگاه
114869,155397,آزمایشگاه تشخیص پزشکی دکتر آتش آب پرور-بندرعباس,1067723,1000106,آزمایشگاه,هرمزگان-بندرعباس-خيابان سيد جمال الدين اسدآبادي-نرسيده به چهارراه فاطميه-ساختمان اسپينال-طبقه فوقاني-فرش الماس کوير-پلاک 916-طبقه اول-واحد 2 و 3,True,True,استان هرمزگان,بندرعباس,27.1848402138,56.2873500703,,,,https://iranassistance.com/medical-centers/114869,آزمایشگاه
114877,155417,مرکز رادیولوژی و سونوگرافی فارابی -خرم آباد,1067731,61,تصویربرداری,لرستان -خرم آباد -خيابان انقلاب -روبروي بيمارستان عشاير -کوچه قدس -ساختمان پزشکان فارابي,True,True,استان لرستان,خرم آباد,33.5025019455,48.3597550793,,,,https://iranassistance.com/medical-centers/114877,تصویربرداری
114878,155418,آزمایشگاه تشخیص پزشکی پارسه-الشتر,1067732,1000106,آزمایشگاه,لرستان -الشتر-خيابان بروجردي -نبش خيابان اميرکبير شرقي (فرمانداري سابق )-پلاک 97 -طبقه 1,True,True,استان لرستان,الشتر,33.8657163692,48.2627850929,,,,https://iranassistance.com/medical-centers/114878,آزمایشگاه
114881,155423,مرکز رادیولوژی و سونوگرافی طلوع-خرم آباد,1067735,61,تصویربرداری,لرستان-خرم آباد-بين چهارراه بانک و ميدان شهدا -روبروي پاساژ رضا -کوچه شهيد کاکاوند-زير زمين ساختمان قلب سالم,True,True,استان لرستان,خرم آباد,33.4748773628,48.3537509952,,,,https://iranassistance.com/medical-centers/114881,تصویربرداری
114886,155429,آزمایشگاه پاتوبیولوژی نویان-شهرضا,1067740,1000106,آزمایشگاه,اصفهان -شهرضا-چهارراه حکيم فرزانه - خيابان انقلاب اسلامي -روبروي بانک صادرات مرکزي -بعد از فرعي 46,True,True,استان اصفهان,شهرضا,32.6521302592,51.6494917545,,,,https://iranassistance.com/medical-centers/114886,آزمایشگاه
114887,155430,آزمایشگاه پاتوبیولوژی آرمان-بندرگز,1067741,1000106,آزمایشگاه,گلستان-بندر گز-چهارراه پاسداران-ساختمان پزشکان مهدوي-طبقه همکف,True,True,استان گلستان,بندرگز,36.7752434313,53.9461741095,,,,https://iranassistance.com/medical-centers/114887,آزمایشگاه
114890,155452,مرکز رادیولوژی دهان ،فک و صورت دکتر فرانک جلالیان-اصفهان,1067744,61,تصویربرداری,اصفهان-خيابان بزرگمهر-نبش کوچه طاووس-روبروي اورژانس بيمارستان صدوقي-ساختمان ميرداماد-طبقه چهارم-واحد25,True,True,استان اصفهان,اصفهان,32.6500702805,51.6977080246,,,,https://iranassistance.com/medical-centers/114890,تصویربرداری
114891,155455,آزمایشگاه  تشخیص پزشکی دکتر صفار-خمینی شهر,1067745,1000106,آزمایشگاه,اصفهان-خميني شهر-خيابان بوعلي سينا-کوچه شهيد پاکروان-پلاک2-طبقه همکف-واحد1,True,True,استان اصفهان,خميني  شهر,32.6989738713,51.516295418,,,,https://iranassistance.com/medical-centers/114891,آزمایشگاه
114898,155475,آزمایشگاه  پاتوبیولوژی  نبض-پاوه,1067752,1000106,آزمایشگاه,کرمانشاه-پاوه-خيابان اتقلاب-روبروي کوچه سنگفرش-جنب مسجد خانقاه ولد بيگي-پلاک 14-طبقه همکف و اول-واحد اول,True,True,استان کرمانشاه,پاوه,34.9908044731,46.4182159698,,,,https://iranassistance.com/medical-centers/114898,آزمایشگاه
114908,155508,درمانگاه شبانه روزی راد-شیراز,1067764,1000166,درمانگاه,فارس -شيراز-بلوار رحمت -حدفاصل پل غدير و ميدان کوزه گري (بين کوچه 17 و 19)- پلاک 673,True,True,استان فارس,شيراز,29.6300064637,52.5088913973,,,,https://iranassistance.com/medical-centers/114908,درمانگاه
114922,155571,مرکز رادیولوژی و سونوگرافی دکترمحمدرضاغفاری-خرم آباد,1067780,61,تصویربرداری,لرستان - خرم آباد -چهارراه فرهنگ به سمت پل دارايي زاده -کوچه دالوند -ساختمان پزشکان التيام,True,True,استان لرستان,خرم آباد,33.5130581925,48.3317011456,,,,https://iranassistance.com/medical-centers/114922,تصویربرداری
114923,155572,آزمایشگاه تشخیص پزشکی دکتر خدادادی-طارم علیا,1067781,1000106,آزمایشگاه,زنجان-طارم عليا-آب بر-روبروي بانک ملي-پلاک 114-طبقه اول-واحد يک,True,True,استان زنجان,طارم,36.924496211,48.9608877835,,,,https://iranassistance.com/medical-centers/114923,آزمایشگاه
114924,155576,آزمایشگاه پاتوبیولوژی جالینوس-اصفهان,1067782,1000106,آزمایشگاه,اصفهان-نجف آباد-يزدانشهر-بلوار مطهري-حد فاصل نگارستان 5و6,True,True,استان اصفهان,اصفهان,32.6319876456,51.3137171297,,,,https://iranassistance.com/medical-centers/114924,آزمایشگاه
114926,155581,درمانگاه خیریه شبانه روزی قرآن وعترت ثقلین-قم,1067784,1000166,درمانگاه,قم -خيابان معلم غربي (خيابان حجتيه) -روبروي مدرسه آيت الله  حجت,True,True,استان قم,قم,34.639715052,50.8739357879,,,,https://iranassistance.com/medical-centers/114926,درمانگاه
114928,155583,درمانگاه شبانه روزی امین -نجف آباد,1067786,1000166,درمانگاه,اصفهان-نجف آباد-يزدانشهر-خيابان مطهري روبروي مسجد جامع,True,True,استان اصفهان,نجف اباد,32.6305919666,51.3129750102,,,,https://iranassistance.com/medical-centers/114928,درمانگاه
114929,155589,آزمایشگاه پاتوبیولوژی آذرمهر - اصفهان,1067787,1000106,آزمایشگاه,اصفهان-خيابان آيت ا... کاشاني- خيابان صاحب روضات - روبروي اوژانس بيمارستان کاشاني-پلاک4,True,True,استان اصفهان,اصفهان,32.6593502015,51.6525016121,,,,https://iranassistance.com/medical-centers/114929,آزمایشگاه
114930,155590,آزمایشگاه پاتوبیولوژی فراز-بوشهر,1067788,1000106,آزمایشگاه,بوشهر - ميدان امام خميني -ابتداي خيابان سنگي-روبروي داروخانه بهمنش -نبش بوستان يکم,True,True,استان بوشهر,بوشهر,28.9589784955,50.8373057698,,,,https://iranassistance.com/medical-centers/114930,آزمایشگاه
114932,155594,درمانگاه تخصصی داخلی هاشم-نجف آباد,1067790,1000166,درمانگاه,اصفهان-نجف آباد -فلکه آزادگان -خيابان آيت الله حججي(پشت پارک),True,True,استان اصفهان,نجف اباد,32.6277471831,51.3928859277,,,,https://iranassistance.com/medical-centers/114932,درمانگاه
114940,155674,آزمایشگاه پاتوبیولوژی رستا-خرم آباد,1067799,1000106,آزمایشگاه,لرستان-خرم آباد- خيابان شهداي شرقي-کوچه مخابرات-پلاک 17,True,True,استان لرستان,خرم آباد,33.4883537659,48.3543798649,,,,https://iranassistance.com/medical-centers/114940,آزمایشگاه
